pam 1.6.0-3
pambase 20230918-1
pango 1:1.51.1-1
pangomm 2.46.3-1
papirus-icon-theme 20231201-2
parted 3.6-1
patch 2.7.6-10
pavucontrol 1:5.0+r64+geba9ca6-1
pciutils 3.10.0-1
pcre 8.45-4
pcre2 10.42-2
pcsclite 2.0.1-1
perl 5.38.1-1
perl-error 0.17029-5
perl-mailtools 2.21-7
perl-timedate 2.33-5
phonon-qt5 4.12.0-3
phonon-qt5-gstreamer 4.10.0-4
pinentry 1.2.1-3
pipewire 1:1.0.1-1
pipewire-session-manager 1:1.0.1-1
pixman 0.43.0-1
pkgconf 2.1.0-2
plasma-desktop 5.27.10-1
plasma-framework5 5.114.0-1
plasma-integration 5.27.10-1
plasma-wayland-protocols 1.12.0-1
plasma-wayland-session 5.27.10-2
plasma-workspace 5.27.10-2
playerctl 2.4.1-3
polkit 124-1
polkit-kde-agent 5.27.10-1
polkit-qt5 0.175.0-1
poppler 24.01.0-1
poppler-qt5 24.01.0-1
popt 1.19-1
portaudio 1:19.7.0-2
postgresql-libs 16.1-4
powerdevil 5.27.10-2
prison5 5.114.0-1
procps-ng 4.0.4-2
psensor 1.2.1-4
psmisc 23.6-1
pulseaudio 17.0-3
pulseaudio-bluetooth 17.0-3
python 3.11.6-1
python-cairo 1.25.1-1
python-gobject 3.46.0-1
python-mako 1.3.0-1
python-markdown 3.5.1-1
python-markupsafe 2.1.3-1
python-packaging 23.2-1
python-pillow 10.2.0-1
python-pystache 0.6.1-2
python-yaml 6.0.1-2
qca-qt5 2.3.8-1
qqc2-desktop-style5 5.114.0-1
qrencode 4.1.1-2
qt5-base 5.15.12+kde+r147-1
qt5-declarative 5.15.12+kde+r31-1
qt5-graphicaleffects 5.15.12-1
qt5-location 5.15.12+kde+r6-1
qt5-multimedia 5.15.12+kde+r2-1
qt5-quickcontrols 5.15.12-1
qt5-quickcontrols2 5.15.12+kde+r5-1
qt5-speech 5.15.12+kde+r1-1
qt5-svg 5.15.12+kde+r6-1
qt5-tools 5.15.12+kde+r4-1
qt5-translations 5.15.12-1
qt5-wayland 5.15.12+kde+r61-1
qt5-webchannel 5.15.12+kde+r3-1
qt5-webengine 5.15.16-2
qt5-x11extras 5.15.12-1
qt5ct 1.8-1
qt6-base 6.6.1-3
qt6-declarative 6.6.1-1
qt6-svg 6.6.1-1
qt6-translations 6.6.1-1
qt6-wayland 6.6.1-1
qt6ct 0.9-4
r 4.3.2-3
r2modman-appimage 3.1.46-1
raptor 2.0.16-4
rasqal 1:0.9.33-6
rav1e 0.6.6-3
re2 1:20231101-1
readline 8.2.010-1
redland 1:1.0.17-8
rhash 1.4.4-1
rstudio-desktop-bin 2023.12.0.369-1
rtkit 0.13-2
rubberband 3.3.0-1
rustup 1.26.0-5
sassc 3.6.2-4
sbc 2.0-1
sdbus-cpp 1.4.0-1
sddm 0.20.0-2
sddm-kcm 5.27.10-1
sdl12-compat 1.2.68-1
sdl2 2.28.5-1
seatd 0.8.0-1
sed 4.9-3
shaderc 2023.7-2
shadow 4.14.3-1
shared-mime-info 2.4-1
simple-shutdown-dialog-git 20.d5c6eb0-1
slang 2.3.3-2
slurp 1.5.0-1
smartmontools 7.4-1
smbclient 4.19.4-1
snappy 1.1.10-1
sndio 1.9.0-1
sof-firmware 2023.12-1
solid5 5.114.0-1
sonnet5 5.114.0-1
sound-theme-freedesktop 0.8-5
spdlog 1.12.0-2
speex 1.2.1-1
speexdsp 1.2.1-1
spicetify-cli 2.30.0-1
spicetify-themes-git r455.82c2e40-1
spirv-tools 2023.5-1
spotify 1:1.2.26.1187-1
sqlite 3.45.0-1
srt 1.5.3-1
steam 1.0.0.78-2
sublime-text-4 4.4169-1
sudo 1.9.15.p5-1
svt-av1 1.8.0-1
swayidle 1.8.0-1
swaylock-effects-git r470.496059a-1
syndication5 5.114.0-1
syntax-highlighting5 5.114.0-1
systemd 255.2-3
systemd-libs 255.2-3
systemd-sysvcompat 255.2-3
systemsettings 5.27.10-1
taglib 1.13.1-1
talloc 2.4.1-1
tar 1.35-2
tcl 8.6.13-1
tdb 1.4.9-1
tevent 1:0.15.0-1
texinfo 7.1-2
themix-export-spotify-git 1.2.8.r5.g2d1a2ef-1
themix-full-git 1.15.1-1
themix-gui-git 1.15.1.r130.gc1456005-1
themix-icons-archdroid-git 1.0.3.r0.gb90779de4-1
themix-icons-gnome-colors-git 5.5.6.r0.gd2cb7eb-2
themix-icons-numix-git 23.12.02.r0.g00f14ad4e.23.11.11.r0.g66b85eadd-1
themix-icons-papirus-git 20231201.r106.gf4346c5d85-1
themix-icons-suru-plus-aspromauros-git 3.0.r0.gd43a8ec4-2
themix-icons-suru-plus-git 30.0.r2.g9bd895f32-2
themix-import-images-git 1.15.1.r130.gc1456005-1
themix-plugin-base16-git 1.5.4.r2.g81e71cd-1
themix-theme-oomox-git 1.12.4.r6.g71d8d5a9-1
thin-provisioning-tools 1.0.10-1
threadweaver5 5.114.0-1
tk 8.6.13-2
tomlplusplus 3.4.0-1
tpm2-tss 4.0.1-1
tracker3 3.6.0-3
tslib 1.22-1
ttf-arimo-nerd 3.1.1-1
ttf-hack 3.003-6
ttf-jetbrains-mono 2.304-1
ttf-jetbrains-mono-nerd 3.1.1-1
ttf-liberation 2.1.5-1
ttf-meslo-nerd 3.1.1-1
ttf-nerd-fonts-symbols 3.1.1-1
ttf-nerd-fonts-symbols-common 3.1.1-1
ttf-spacemono 1.0.0-2
twolame 0.4.0-3
tzdata 2023d-1
udisks2 2.10.1-2
unzip 6.0-20
upower 1.90.2-1
usbmuxd 1.1.1-3
usbutils 017-1
util-linux 2.39.3-1
util-linux-libs 2.39.3-1
v4l-utils 1.26.1-1
vid.stab 1.1.1-1
vim 9.1.0000-1
vim-runtime 9.1.0000-1
virtualbox 7.0.14-1
virtualbox-host-modules-arch 7.0.14-1
vlc 3.0.20-5
vmaf 3.0.0-1
volume_key 0.3.12-8
vulkan-headers 1:1.3.274-1
vulkan-icd-loader 1.3.274-1
vulkan-radeon 1:23.3.3-1
vulkan-validation-layers 1.3.268.0-1
wavpack 5.6.0-1
waybar-git r3095.4b20f522-1
wayland 1.22.0-1
wayland-protocols 1.32-1
webrtc-audio-processing 0.3.1-4
webrtc-audio-processing-1 1.3-2
wev 1.0.0-13
wget 1.21.4-1
which 2.21-6
wildmidi 0.4.5-2
wireless_tools 30.pre9-3
wireplumber 0.4.17-1
wl-clip-persist-git r34.6ba11a2-1
wl-clipboard 1:2.2.1-1
wl-clipboard-history-git r12.25bacd3-1
wlogout 1.1.1-3
wlroots 0.17.1-1
wofi 1.3-2
wpa_supplicant 2:2.10-8
x264 3:0.164.r3108.31e19f9-1
x265 3.5-3
xcb-proto 1.16.0-1
xcb-util 0.4.1-1
xcb-util-cursor 0.1.5-1
xcb-util-errors 1.0.1-1
xcb-util-image 0.4.1-2
xcb-util-keysyms 0.4.1-4
xcb-util-renderutil 0.3.10-1
xcb-util-wm 0.4.2-1
xcur2png 0.7.1-7
xdg-dbus-proxy 0.1.5-1
xdg-desktop-portal 1.18.2-1
xdg-desktop-portal-hyprland 1.3.1-2
xdg-desktop-portal-wlr 0.7.0-2
xdg-user-dirs 0.18-1
xdg-utils 1.2.0r25+g0f49cf5-1
xdialog 2.3.1-9
xf86-input-libinput 1.4.0-1
xf86-video-amdgpu 23.0.0-1
xf86-video-ati 1:22.0.0-1
xkeyboard-config 2.40-1
xmlsec 1.2.39-1
xorg-fonts-encodings 1.0.7-1
xorg-mkfontscale 1.2.2-1
xorg-server 21.1.11-1
xorg-server-common 21.1.11-1
xorg-setxkbmap 1.3.4-1
xorg-xauth 1.1.2-1
xorg-xinit 1.4.2-1
xorg-xinput 1.6.4-1
xorg-xkbcomp 1.4.6-1
xorg-xmessage 1.0.6-1
xorg-xmodmap 1.0.11-1
xorg-xprop 1.2.6-1
xorg-xrandr 1.5.2-1
xorg-xrdb 1.2.2-1
xorg-xset 1.2.5-1
xorg-xsetroot 1.1.3-1
xorg-xwayland 23.2.4-2
xorgproto 2023.2-1
xvidcore 1.3.7-2
xwaylandvideobridge 0.4.0-1
xxhash 0.8.2-1
xz 5.4.5-1
yajl 2.1.0-5
yay 12.2.0-1
zenity 4.0.1-1
zeromq 4.3.5-2
zimg 3.0.5-1
zip 3.0-11
zlib 1:1.3.1-1
zram-generator 1.1.2-1
zsh 5.9-4
zsh-theme-powerlevel10k 1.19.0-1
zstd 1.5.5-1
zxing-cpp 2.2.1-1
zziplib 0.13.72-2
